opere perfecto|terminada la obra
Romulo regnante|reinando Rómulo
Romulo rege|siendo rey Rómulo
corruptus, corrupta, corruptum|corrompido
cognitus, cognita, cognitum|conocido
commissus, commissa, commissum|trabado
arreptus, arrepta, arreptum|tomado, agarrado
lectus, lecta, lectum|leído
veniens, venientis|que llega, llegando
consul, consulis|cónsul
dux, ducis|jefe, caudillo
vivus, viva, vivum|vivo
amaturus, amatura, amaturum|que va a amar
amandus, amanda, amandum|que ha de ser amado
arripio, -is, -ere, arripui, arreptum|coger, agarrar, empuñar
bibo, -is, -ere, bibi, bibitum|beber
comperio, -is, -ire, comperi, compertum|comprobar, averiguar
conicio, -is, -ere, conieci, coniectum|lanzar, arrojar
corrumpo, -is, -ere, corrupi, corruptum|corromper
dedo, -is, -ere, dedidi, deditum|entregar
intermitto, -is, -ere, intermisi, intermissum|interrumpir, interponer
invado, -is, -ere, invasi, invasum|avanzar, invadir
aequus, aequa, aequum|llano, igual, inalterable, favorable
Antonius, -ii|Antonio
Catilina, -ae|Catilina
coniuratio, coniurationis|conjuración
contentus, contenta, contentum|contento, satisfecho
gravis, grave|grave, importante, pesado
iniuria, -ae|injusticia, atropello
praesens, praesentis|presente
profectio, profectionis|marcha, partida
senator, senatoris|senador
Sequani, -orum|los sécuanos
terror, terroris|terror
veritas, veritatis|verdad
contra|contra
opus, operis|obra
aqua, -ae|agua
litterae, -arum|carta
hostis, hostis|enemigo
praesidium, -ii|guarnición
civitas, civitatis|población, ciudad
coniuratio, coniurationis|conjuración
res publica|república
iter|camino
veritas, veritatis|verdad
subsidium, -ii|refuerzo
compertum est mihi|ha sido comprobado por mí
notum est mihi|es sabido por mí
hoc mihi faciendum est|esto debe ser hecho por mí
