ut (uti) + subjuntivo|de tal manera que
quin + subjuntivo|que no
ita|de tal manera
sic|de tal manera
talis|tal
is|tal
adeo|hasta tal punto
tantus, tanta, tantum|tan grande
tam|tan
ut (uti)|como, tal como, según
sicut (sicuti)|como, tal como, según
velut (veluti)|como, tal como, según
talis... qualis|tal... cual
tot... quot|tantos... cuantos
tantus... quantus|tan grande... como
tantum... quantum|tanto... cuanto
plus|más
quam|que
ut si|como si
impendeo, -es, -ere|estar suspendido sobre, ser inminente, amenazar, dominar
morior, moreris, mori, mortuus sum|morir
orior, oriris, oriri, ortus sum|nacer, originarse, surgir, producirse
Cato, Catonis|Catón
celeritas, celeritatis|rapidez, celeridad
dubium, -ii|duda
perpauci, -ae, -a|muy pocos
plus, pluris|más
receptus, -us|retirada
sapientia, -ae|sabiduría
stultus, stulta, stultum|necio
tutus, tuta, tutum|seguro, protegido, defendido
perfacilis, facile|muy fácil
perfacile|muy fácilmente
permulti, -ae, -a|muchísimos
mons, montis|monte
altissimus, altissima, altissimum|altísimo
tempestas, tempestatis|tempestad
pons, pontis|puente
rumpo, -is, -ere, rupi, ruptum|romper
copiae, -arum|tropas
colloco, -as, -are, -avi, -atum|situar, colocar
quisque, quaeque, quidque|cada uno
hostis, hostis|enemigo
ripa, -ae|orilla
celeritas, celeritatis|celeridad
impetus, -us|ímpetu
supersum, superes, superesse, superfui|sobrevivir, quedar
audeo, -es, -ere, ausus sum|atreverse
respondeo, -es, -ere, respondi, responsum|responder
soleo, -es, -ere, solitus sum|soler
sententia, -ae|opinión, parecer
multitudo, multitudinis|multitud
malo, mavis, malle, malui|preferir
referre pedem|retroceder, retirarse
placet mihi|me gusta
lego, -is, -ere, legi, lectum|leer
flumen, fluminis|río
vis, vis|fuerza, violencia
miles, militis|soldado
nox, noctis|noche
niger, nigra, nigrum|negro
terror, terroris|terror
salus, salutis|salvación
possum, potes, posse, potui|poder
conor, -aris, -ari, -atus sum|intentar
nuntio, -as, -are, -avi, -atum|anunciar, comunicar
maturo, -as, -are, -avi, -atum|apresurarse, darse prisa
contendo, -is, -ere, contendi, contentum|dirigirse apresuradamente
Genua, -ae|Génova
ulterior, ulterius|situado más allá, ulterior
legio, legionis|legión
rescindo, -is, -ere, rescidi, rescissum|derribar, destruir
certior fio, certior fieri, certior factus sum|enterarse
animus, -i|ánimo, intención
maleficium, -ii|daño, perjuicio
concedo, -is, -ere, concessi, concessum|permitir, conceder
delibero, -as, -are, -avi, -atum|deliberar
dies, diei|plazo, día
