amandum|amar
amandi|de amar
amando|a o para amar
amando|amando
habendum|tener
mittendum|enviar
capiendum|capturar, coger
audiendum|oír
eundum|ir
ad navigandum|para navegar
pugnando|luchando
ridens, ridentis|que ríe, riendo
cupidus, cupida, cupidum|deseoso, ansioso
videndi|de ver
videndae|de ver
patria, -ae|patria
iaciendo|arrojando
telum, -i|proyectil
iaciendis|arrojando
gerundium, -ii|gerundio
gerundivum, -i|gerundivo
res, rei|asunto, cosa
rei gerendae|para realizar el asunto
hiemo, -as, -are, -avi, -atum|invernar
ad hiemandum|para invernar
conficio, -ficis, -ere, confeci, confectum|realizar, ejecutar, llevar a cabo, terminar, agotar
biennium, -ii|bienio, período de dos años
duco, -is, -ere, duxi, ductum|conducir, llevar, guiar
duco|considerar, pensar
laborandi gratia|para trabajar
causa|por causa de
gratia|por causa de, para
perspicio, -spicis, -ere, perspexi, perspectum|ver, observar, examinar
opus, operis|obra
ager, agri|campo
colo, -is, -ere, colui, cultum|cultivar
curo, -as, -are, -avi, -atum|encargarse de, cuidar
pontem faciendum curavit|se encargó de construir un puente
supinum, -i|supino
pabulatum|a forrajear, para forrajear
factu|de hacer
facilis, facile|fácil
coepi, coepisse, coeptum|comenzar
concedo, -is, -ere, concessi, concessum|retirarse, conceder
incipio, -cipis, -ere, incepi, inceptum|comenzar
navigo, -as, -are, -avi, -atum|navegar
pabulor, -aris, -ari, -atus sum|forrajear
rideo, -es, -ere, risi, risum|reír
statuo, -is, -ere, statui, statutum|establecer, poner, fijar, decidir
facultas, facultatis|facultad, posibilidad
Helvetii, -orum|los helvecios
occasio, occasionis|ocasión, oportunidad
libere|libremente
gerere rem|llevar o realizar un asunto
gerere rem|hacer la guerra
gerere rem|dirigir la campaña
gerere rem|combatir
bene gerere rem|obtener la victoria
conicio, -icis, -ere, conieci, coniectum|arrojar
saxum, -i|piedra
ad oppugnandum|para atacar
ad irrumpendum|para irrumpir
dormitum|a dormir, para dormir
beneficium, -ii|beneficio
do, das, dare, dedi, datum|dar
accipio, -is, -ere, accepi, acceptum|recibir
spes, spei|esperanza
redeo, -is, -ire, redii, reditum|regresar
defendo, -is, -ere, defendi, defensum|defender
persequor, -queris, -qui, persecutus sum|perseguir
recupero, -as, -are, -avi, -atum|recuperar
arma, -orum|armas
rusticus, -i|campesino
aro, -as, -are, -avi, -atum|arar
transporto, -as, -are, -avi, -atum|transportar
