ubi|donde, dónde, cuando
ibi|allí
bellum gerendum erat|la guerra debía desarrollarse
nescio|no sé
ubi aedificatus est pons|dónde se construyó el puente
nescio ubi aedificatus sit|no sé dónde se construyó
multa|muchas ocasiones
melius|mejor
tacere|callar
ubi haec nuntiata sunt|cuando fueron comunicados estos hechos
quod|que, el cual, qué, porque, puesto que ,como, el hecho de que
flumen, fluminis|río
Arar, Araris|Saona
Rhodanus, -i|Ródano
regnum, -i|reino, trono
civitas, civitatis|pueblo, ciudad
occupo, -as, -are, -avi, -atum|ocupar, apoderarse de, anticiparse a
pater, patris|padre
post mortem|después de la muerte
constituo, -is, -ere, constitui, constitutum|decidir, establecer
conor, -aris, -ari, -atus sum|intentar
comitia, -orum|asamblea, comicios, elecciones
consul, consulis|cónsul
declaro, -as, -are, -avi, -atum|declarar, proclamar
coniuratio, coniurationis|conjuración
concutio, -is, -ere, concussi, concussum|desconcertar, sacudir
imperium, -ii|autoridad, mando, poder
rogo, -as, -are, -avi, -atum|preguntar
accidit quod|sucedió que
classis, classis|escuadra, flota
abeo, -is, -ire, abii, abitum|alejarse, irse
praetereo, -is, -ere, praeterii, praeteritum|pasar por alto, omitir
afui|estuve ausente, no acudí
animadverto, -is, -ere, animadverti, animversum|notar, observar, darse cuenta de
proelium, -ii|combate, batalla
cornu, cornus|ala (de un ejército)
dexter, dextra, dextrum|derecho
firmus, firma, firmum|firme, sólido
hostis, hostis|enemigo
dum|mientras
dum|hasta que
dum|con tal que
dum modo|con tal que
dummodo|con tal que
gero, -is, -ere, gessi, gestum|hacer, realizar, llevar a cabo
coactus, coacta, coactum|reunido
peditatus, -us|infantería
equitatus, -us|caballería
adorior, -iris, -iri, adortus sum|atacar
paro, -as, -are, -avi, -atum|preparar
exspecto, -as, -are, -avi, -atum|esperar
pervenio, -is, -ire, perveni, perventum|llegar
otiosus, otiosa, otiosum|ocioso
otium, -ii|ocio, reposo, paz
obsum, obes, obesse, obfui|perjudicar
res publica|república
adorior, -iris, -iri, adortus sum|atacar
contendo, -is, -ere, contendi, contentum|pretender, intentar, esforzarse, combatir, marchar
divido, -is, -ere, divisi, divisum|dividir, separar, repartir
influo, -is, -ere, influxi, influxum|desembocar, penetrar
interficio, -ficis, -ere, interfeci, interfectum|matar
comitia, -orum|asamblea, comicios, elecciones
Tullius, -ii|Tulio
validus, valida, validum|fuerte, robusto
eo|allí, a aquel lugar
Galli, -orum|los galos
Germani, -orum|los germanos
Rhenus, -i|Rin
video, -es, -ere, vidi, visum|ver
placeo, -es, -ere, placui|gustar
gratias ago|dar las gracias
beneficium, -ii|beneficio
iustus, iusta, iustum|justo
lex, legis|ley
vigeo, -es, -ere, vigui|estar en vigor, ser fuerte
patior, pateris, pati, passus sum|soportar, padecer
salvus, salva, salvum|salvo
patria, -ae|patria
